id,endereço
1,TESTE
2,"rua da entidade,25"
3,Av. Augusto Antunes 337
5,Ermelino Matarazzo e comunidade vila Silvia
6,Rua Serra de LUIZ Gomes 1992 cep 08190 500
7,Rua Battista malatesta 228 Jd Guarujá
8,Av engenheiro pinto  318
9,Rua Lucas Nogueira Garcez 21
10,"Rua Artelinda Rugeri Dadato, 35 - 2andar / Bairro Cipava - Osasco"
11,Rua Júlio cenalvo 16a
12,"Rua Gitirana,200 bairro Colônia Itaquera ZL."
13,Rua Abner Ribeiro Borges 463
14,Rua Diego Sande n° 321 - Jardim Camargo Novo - Cep 08121-540
15,Av Miguel Achiole da Fonseca - 717
16,Rua Ernesto Manograsso 207
17,Rua Manuel Dias  n:22 B
19,"Avenida Acedemia de São Paulo, 715 - São da Associação"
20,"Rua Fajardo de Barros, 61 - Jd Campos - Itaim Paulista"
21,RUA MARIO SAMMARCO N.22
22,"Rua Samoa Ocidental,189- Jd São Martinho"
23,Rua Arquiteto Professor chaves s/n vielas 
24,"Rua Margot Fonteyn, 25 - CEP 08121-710"
25,Av engenheiro pinto  318
26,Rua Padre Virgílio Campelo 279
27,Rua Visconde de Guedes Teixeira 100 encosta norte
28,AVENIDA Ernesto Souza Cruz 636
29,"Rua Graciano Altierio, 49 - Casa Verde Alta  Sao Paulo-SP "
30,Rua Belem numero 4 b
31,"Travessa Rio dos Touros SN, cohab Raposo Tavares"
32,Rua presidente Dutra 120 vila São Gabriel
33,"Rua Cariacica, 59, Jd. Santa Cruz - São Paulo - CEP: 02672060"
35,"Rua Rodolfo Albino Silva, 49"
36,"rua arraial de catas altas,222. vila santa inês. são paulo"
37,"Rua Gaivota, 68"
38,"Avenida Massao Watanabe, 79 - Jardim Santa Cruz "
39,"Rua Francisco Inácio solano, 61 "
40,Avenida Corifeu de Azevedo Marques 3667 casa 2 Vila Lageado Butantã 
41,"Rua Dr Humberto cerruti,151 jardim Mabel "
42,rua serra  escalvada num 249 frente
43,"Avenida Bento de Souza, 633"
44,Rua Três Rios no 24 Bom Retiro
45,"Rua Sebastião Dias Fragoso, 33 A"
46,"Rua Xavier de Magalhães, 64"
47, Rua Alcebiades Bertolotti
48,RUA ROSE LACOMBE N 270 JARDIM BOA VISTA (SEDE)
49,"Rua São Caetano do Sul,1056"
50,"Rua Fernando de Noronha, 28"
51,
52, Jardim 
53,"Rua Iquiririm, 553 - Vila Indiana - Butantã CEP 05586-001 - Nosso ponto de coleta oficial "
54,"Rua Jeceaba, 128 - Jardim Bartira - CEP: 08160-030"
55,"Rua Sebastião Dias Fragoso, 33 A"
56,Av.Cel.Sezefredo Fagundes / Rua São Cirilo de Alexandria/Rua Gabriel Martins
57,Rua Moises Alves dos Santos.906
58,"Rua Roberto Said ,61"
59,
60,Rua estrada dom João Nery número 3676
61,Em várias localidades da cidade de São Paulo
62,R JACOME NUNES n 9 JARDIM ELZA
63,rua guaiuvira 89 jardim jaragua itaim paulista
64,Em várias localidades da cidade de São Paulo
65,Rua Malmequer do Campo 1772
66,Rua Malmequer do Campo 1772
67,Rua Vicente Avelar 85 sala 81 conjunto José Bonifácio Itaquera 
68,"RUA MANUEL CARREIRA MIGUEL,203"
69,RUA FLOR DELIS 1652 VILA BRASILÂNDIA 
70,"Próxima,a Rua Luigi de Caruso"
71,Rua Santa Marcelina 991 Vila Carmosina 
72,rua barão Antonio Benfica 35
73,rua barão Antonio Benfica 35
74,Rua: Canindé n° 83 barrio Canindé SP
75,Ocupação Alojamento
76,Bairro Rubilene
77,Cede do nova América parelheiros colônia 
79,Bairro Rubilene
80,"Rua Emilio Castro 114, Jardim Damasceno"
81,Estrada do Alvarenga próximo ao número 3792boneario são francisco
82,"Rua Jason Xavier de Barros 185, Jardim das Oliveiras , São Paulo"
83,Rua monsenhor joão batista de carvalho numero 27
84,Rua Teodoro Rodrigues 
85,"Favela do Boi, Domingos Vidigal, Terras sem Males, Ilha dos Ratones, rio de Ouro, Rua Igaraçu Vila Simone, Pque Industrial, Vielas Carlos de Campo e das Flores "
86,
87,Rua Teodoro Rodrigues 183 jd MARILU 
91,Avenida Sapopemba 11.558 loja 1 e 2
92,"Rua Santo Rizzo, 120 - CEP: 08470-250"
93,Rua três Rios 24 bom retiro
94,Estrada Santo Honório 208
95,Rua Euclides de Jesus n60 José Bonifácio 
96,rua barão Carvalho do amparo altura 18
97,"Rua Herval, 91, Belenzinho, 03062-000, São Paulo - SP"
98,Rua projetada1 568 condomínio melila 
99,"AVENIDA CELSO GARCIA, 2117, Bras, 03015-000, SÃO PAULO - SP"
100,"Rua Herval, 91B, Belenzinho, 03062-000, São Paulo - SP"
101,
102,Rua Silveira martins 72 3 andar
103,diversos ( assessoramos varias  comunidades na cidade de sao paulo)
104,"Rua Edmundo Abreu, 359 "
105,ATRAVESSA GUANHEMBU
106,"RUA EUGENIO DE ANDRADE, 307 - CASA - JD MARINGA- CEP 04814-050"
107,"Av. Jardim Tamoios, 1738"
108,Estrada dos mirandas 301...JD.DAS. Palmas
109,Rua Lucas Fernandes Pinto n 170 Parque São Rafael 
111,"Rua Santa Sofia,250 Jardim Turquesa"
112,"Rua Tomás de Santa Maria, 77 - Teotônio Vilela "
113,"Rua Madre Nineta Jonata, 126-128"
114," Rua Raimundo Figueiredo, Viela São Tomé Comunidade do Jardim "
115,"Rua manuel de teffé, N 43"
116,Rua Hélcio da Silva
117,Rua Bernardino Prudente 52
118,Rua Bernardino prudente 42
120,"Rua Bernardino prudente, 52"
121,Rua Luís bordese n 93 sala 07 alt 
123,RUA JOSÉ CARDOSO PIMENTEL  Nº 734   VILA ALABAMA    CEP 08110-490 
124,"Rua Valentim Lopes, 136 Vl Aimoré cep:08190-10"
125,"Rua Domingos Rinaldelli,1709"
126,rua maria José da conceicao  número 700 vila andrade
127,Estrada Canal do Cocaia. N. 1481
129,"Cidade Júlia,Jardim  Luso , Rua Guacuri"
130,Rua presidente Dutra 120 vila São Gabriel
131,Rua Mirassol Doeste 39 Jardim das Camélias. CEP 08050 840
132,"Rua Itanhangá, 540 CEP 02342110 "
133,"RUA JORGE CARLOS DE ALMEIDA, 30 - CEP 08390355 - JARDIM SANTO ANDRE - SAO PAULO"
136,Estrada da vaquejada
137,Rua Marcos Soares Pereira n.31 Jardim Nélia 
138,Estrada da vaquejada
139,"Rua Guaianases, nº 67, apto 810 ? CEP 01204-000 , República"
140,"Rua Windsor, 10"
141,"Cidade Júlia,Jardim Luso Av Guacuri"
142,Rua Bernardino Silva N 173
143,Rua Severino de Freitas Prestes 331
144,"Rua Armando Sposito, 65 Parque América Grajaú"
145,Rua Amanari 612 A
146,Rua mame 726
147,Rua Lucas Fernandes Pinto 170 Parque São Rafael
148,Rua Manuel da Silveira 16 Jd Vila Carrão
149,"RUA INTERATIVA, 99 AP 41 B 05"
150,Rua Afonso Dias 54 Jd Pirauama
151,Av.Intercontinental 
153,Rua:Big Boys n:356
154,RUA ALEXANDRE ARCHIPENKO 251
155,Rua Raimundo de Paula Freitas  Rua Romualdo de Sousa Brito 
156,Cecília maria das dores  n 73
157,Rua Damásio Pinto 2101 Parada XV de Novembro CEP 08247-000
158,Av Félix nascentes Pinto  106
159,"rua brook taylor, 974 - jd.nordeste"
160,"Jardim Silva Telles, Jardim Noêmia, Jardim Camargo Novo"
161,Rua Julia Mameia próximo ao numero 45 / referencia escola Estadual Dr Chrstiano
162,Bairro Jardim Eliana
163,Rua vale do sol n° 189  Bairro: Vila Brasilândia. CEP:02820070
164,Avenida Sapopemba  26.351
165,"Rua Socialista,168 CEP:04472-205 Cidade Julia Sao Paulo SP"
166,Rua Sebastião Annuciatto n.240 . Cep 05527040 jd Celeste
167,Final da rua morro das pedras 154  bairro: jd São francisco
168,Rua Engenheiro Álvaro Cunha 03
169,"RUA TARASCA, Nº 34"
170,"End. Praça Tomas Coelho de Almeida, 1315 . Bairro Jardim de Abril. Cep; 053997-140"
171,"Rua Asas Partidas, nº 35, Cidade A. E. Carvalho, CEP: 08223-410"
172,Rua Isabel Morales de oliveira Miragaia.   680
173,Viela da Paz. n.14.  Favela Mandioquinha
174,"Rua Satélite Janus, 126 CEP 04858-530"
176,Rua Thomé Guimarães 17 Jd Novo Horizonte 
180,Rua Virginia Modesto 1499
181,Rua Xopotó 30
182,"Rua Diogo Gonçalves laço,210"
183,Rua janez Novak n21a CEP 08111755 e rua Freguesia de são Romão n1427 cep08180150
184,
185,
186,Rua janez Novak n21a CEP 08111755 e rua Freguesia de são Romão n1427 cep08180150
187,Rua Estrada da Cachoeira viela 10 número 130a
188,RUA LUCÍDIO MARCONDES DE SOUZA 10 CEP 05569-060 JARDIM JOÃO XXIII
189,AV LUCILO DE ALMEIDA 414. CEP: 05.778-250 - PARQUE ARARIBA
190,"Rua Vicente Antônio de Oliveira, 04"
191,"Rua Evaldo Calabrez, 1647"
193,RUA LUCÍDIO MARCONDES  SOUZA Nº10 CEP 05569-060 JARDIM JOÃO XXIII
194,Rua araruta n 28 vila seabra
195,AV LUCILO DE ALMEIDA 414. CEP: 05.778-250 - PARQUE ARARIBA
196,"Rua Evaldo Calabrez, 1647"
197,Rua Osório Vieira Franco
198,Rua Joaquim goveia Franco 388
199,rua Luiz Rubin 125
200,Rua Boa Esperança.15.cep04851709.Av.Pres.João Goulart 971.JardinMallia.cep.04821010...Rua 3 de Outubro91 cep..08090284
206,Rua Rui Barbosa
207,"Rua terezine 113, Jardim Ideal "
208,"Rua Padre Pompeu de Almeida, 130 - Jd. Santa Bárbara - São Mateus "
209," Rua Darci Mano, 269 - Vila Odete - Guaianazes"
210,"Av. Baronesa de Muritiba, 214 - Parque São Rafael"
211,Rua Ida Vanusei Puntel 11 A Cidade Nova São Miguel  SP
214,"Rua. Forte de São Caetano,147 A"
215,Rua jose gomes de GOUVEIA N 91
216,Rua cachoeira utupiru 197 vila.nova itaim
218,elisio mendes Gaia n 286 Jardim São Carlos cidade Ademar São Paulo capital CEP 04433220
222,Rua Pedro Ran[
223,"Rua Pedro Ramazzani, 167A - Recanto Verde Sol - São Mateus"
224,Rua Arraial de Santa Barbara 971- Jd. Pedro José Nunes
225,"Rua Jean Noverre, 82 - parque dos Bancários"
226,Av:São Lázaro de Jerusalém n 11 jardim Irene Guaianases
227,"rua Ernesto Cerreti, 514 cidade Tiradentes cep 08470-220 São Paulo SP"
228,RUA :DOUTOR SAUL DE CAMARGO NEVES nº257 ( REF: DELEGACIA  24 DA AV SAO MIGUEL )
229,Travessa pau pombo 150  CEP 04849007
230,Avenida Bento Guelf 2280 complemento rua aroeira número 1
232,Rua Cassiano dos Santos 
233,"Rua Arumarana, 26 - Jd. Eliane"
234,Avenida Maria Amalia Lopes de Azevedo 4180
235,"Rua Ramondett Giacomo, 13, Vila Dalva. Cep 05397-110"
237,"Rua Teste, 123"
238,Rua Dr Otávio Lobo 261 CEP 02961-100
239,"Rua Silvestro Palma, 52-B - Vila Jaragua Pirituba "
240,"Rua Santo Rizzo, 120 - CEP 08470-250"
241,Av intercontinental 1240
242,Rua São Felipe 68 vila Maria na associação dos moradores- Cláudia Soares
243,"Av. João Peixoto Viegas, 1030"
244,Rua luis carlos de mouras campos 457 jardim ipe
245,"Rua Joaquim forzano,50 "
246,"Rua Regina Garba, 2 cep 02813-030 Jd paulistano são Paulo SP"
247,"Rua Lucinda Simões, 100 parada de Taipas- são Paulo SP cep 02815-020 - COHAB"
248,"Rua Arte do Sol, 27"
249,"Rua Manoel da Maia, 131"
250,Rua Rafael Correia da Silva 84
251,Rua Setenta e Tres 
252,"Rua Expedito Ribeiro de Souza, 30"
253,"Rua frutas de Santo Amaro,  65 A"
254,JOAO AMOS COMENIUS 849 JARDIM SAO BERNARDO 
255,Rua Amapola 232 Jd Mutinga cep 05159-000 são Paulo SP
256,Rua Toyami Suyama Número 169/179
257,"Rua Aurora do Norte ,167"
258,Rua Piassanguaba 3061
259,Av sao paulo n-700
260,Rua Tijuape número 596 
261,Rua novo oriente do Piaui 765
262,Rua José Francisco de Freitas 783 Jardim Maria Rita
263,Rua Alexandre giuste 165
264,Rua castelêndia n 106
265,Rua FranciscoNunescubas 220 apartamentos 532
266,"Rua Teofilandia 98, Jardim Inadiá, Itaim Paulista, Cep 08141-135"
267,"RUA Alayde de Souza Costa, 612"
268,"RUA Alayde de Souza Costa, 612"
269,Cidade satélite Santa Barbara
270,"RUA IAMBU, 139 - PARQUE SÃO RAFAEL-- SÃO PAULO-SP CEP 08311-210"
271,Rua Carmino Amidio 39 - Jardim Tanay - Sao Paulo - SP
272,"RUA PEDRO DA LOMBA, 139 - PARQUE SÃO RAFAEL - SÃO PAULO - SP - CEP 08311-210"
273,Rua silveira martins72 2 andar sala 22 praça da se
274,"RUA IAMBU, 395 - PARQUE SANTA MADALENA - SÃO PAULO-SP CEP 03982-070"
276,"RUA ALESSANDRO MELANI,156 JARDIM SÃO JOAO - SÃO PAULO - SP - CEP 08370-345"
278,"Rua Alice dos Santos Peixe, 1094"
280,Rua Aurélio de Campos 204 CEP 03977570
281,Referencia Av Ipê roxo Comunidade do boi
282,Av José Higino Neves 1624
283,Rua música da boa noite  
284,"Rua Forte de Trindade,77"
285,Rua Angelina aprobhato machado número 60  CEP 94416320
286,Rua monsenhor João batista de carvalho 26
287,"AV:RAGUEB CHOFFI  N: 5450  J, D  IGUATEMI  S, P"
288,Rua Martim Correia de Sá n° 134  - CEP: 08451-090
289,"Rua Vila Caiz, 68"
290,Av. Râguebi Choffi  n5450 JD Iguatemi são matheus 
292,Rua gregorio de Torres 540 sala 1
293,"Rua Flor do Lírio, s/n - Conjunto Habitacional Brasilândia B-2"
294,Av. Lourenco Cabreira 504
295,Rua Alexandre orlov 92
296,Rua do cobre 299 
297,"Rua Maria Amélia Gouvêia André, 01"
298,"Rua Nova Santa Eosa ,52 Sao Miguel Pta SP"
299,Rua Alfredo Moreira Pinto 56
300,"Rua Condessa de São Joaquim, 277. Bela Vista. São Paulo "
301,Rua Carlos Gonzalez 8 apt ¹62
302,
303,"Avenida Flor da Abissínia, 238"
304,Rua. Coronel  José Gladiador  nº264 casa 2  - CEP: 05267-000
305,
306,"Rua Alberto Lupo, 348 - Parque Bancário - São Paulo."
307,"Rua Astúrias 325, Imirim"
308,"Praça Lauda Lopes, 01 - Vila Curuça - São Paulo - SP"
309,Rua Adamus de Dore 102
310,"Rua Astúrias 325, Imirim"
311,"Rua Pau D Arco Roxo, 167"
312,Morro da Mandioca
313,Rua batista crespo 105 
315,"Avenida Flor da Abissínia, 238"
316,
317,"Avenida Flor da Abissínia, 238 Itaquera São Paulo"
318,Avenida Irmã Dulce 33A Jd dos Bichinhos
319,
320,Rua João gottzfritz filho 18
321,Rua cinturão verde 156 vila santa Inês
322,"Travessa Sene do Reino, 151"
323,"R República de San Marino, 59 - Burgo Paulista"
324, Rua Antônio de Pádua Dias 658 vila hugareza
325,"Travessa Emílio Baran,123 fundos. Cohab Taipas"
326,"Rua Valdemar Paiva Almeida, 87 - Cidade Nova São Miguel Paulista "
327,"Rua dos Tamarindos, 51 - Jardim Matarazzo CEP 03813-200"
328,"RUA:ARRAIL DE SANTA BARBARA ,831 "
329,Av D João nere
330,"Av Padre Estanislau de Campos, 379 - COHAB I"
331,"AVENIDA MARIA COELHO AGUIAR,1211 -"
332,"Avenida Carlos Alberto Bastos Machado,1120, Jardim Sete de Setembro/SP. - CEP: 04856-080"
333,"Brás, Mooca e Belém"
334,"Rua Almirante Barroso, nº 832 - Brás"
335,Travessa talismã 38
336,"Av itajuibe ,córrego Itaim Paulista "
337,"Rua Rosa Chá, 10 - Cangaíba"
338,"Comunidade, ITAOCA"
339,Rua Três Rios no 24 Bom Retiro
340,RUA COMANDANTE TAYLOR 1331
341,"Rua Fernão Mendes Pinto, 634 - Parque Buturussu"
342,"Rua Fernão Mendes Pinto, 61 - Ermelino Matarazzo"
343,RUA COMANDANTE TAYLOR 1331
344,Avenida João Caiaffa
345,Rua Cachoeira da Sorte 131
346,"Av dos Ipês, 1094 - Jardim dos Ipês"
347,Distrito de Brasilândia e Jaraguá 
348,RUA COMANDANTE TAYLOR 1331
349,Rua:Ernesto Moreira Maia 31
350,RUA VICENTE ROBERTO 153
351,Rua Alberto Borges Sorveral 50 - Parque Novo Santo Amaro - São Paulo
352,"Rua Tajal, 1010"
353,"Rua Leonor Alvim, 282 - Interlagos CEP 04802-190."
354,"Rua Nova Crixás, número 36"
355,Rua Big Boys número 356 Jd Bartira cep 08152100
357,"Avenida Sabin, 110. Parque Vera Cruz SP"
358,"Rua Leonor Alvim,243 Interlagos São Paulo"
359,"Rua Cantanhede, 300"
360,Rua Toni Gaúdio 410 CEP 05266-170
361,Rua Vicente José Cabral 142
362,"Associação dos amigos do Jardim Vila Formosa,  Av. dos pequis , 730     São Paulo- capital"
364,Jardim Camargo  Novo Itaim Paulista
366,Rua silveira pires 256
367,Rua Davad assunção Lopes
368,R. planalto. dos acantilados. 110 .cep 03981/110
369,Rua padre Antônio meroth
370,Rua Cumai 127
371,Rua paulo arentino 1153 apt 54 bloco m01
374,"Rua Cristovão Mendes, 36 Jardim São Paulo"
375,"Rua Catuné, 33, Jardim Tietê "
377,"Rua Professor Assis Veloso, 413 Jd São Vicente"
378,"Rua Ricardo Butarelo, n° 499, CEP 03813-010"
379,Rua conquista popular 11 ao lado da escola joao da silva  vila nascente Grajau
380,
381,"Avenida Nordestina, 3783 - 2º Andar"
382,"Zona Sul, Jardim das Imbuias, Jd. Iporanga, Vila São José, Vila Angelina, Jardim Real, Jordanópolis"
383,"Zona Sul, Jardim das Imbuias, Jd. Iporanga, Vila São José, Vila Angelina, Jardim Real, Jordanópolis"
384,"Rua do Mestre 44, parque de Taipas "
385,Rua Setenta e Tres 
386,Rua Jasmim de Porcelana 784
387,rua dr. aureliano da silva arruda 559
388,"RUA JOÃO DA SILVA BRAGA, 477"
389,"RUA ANTONIO CARLOS BENJAMIM DOS SANTOS, 3025"
390,rua dr. aureliano da silva arruda 559
391,AVENIDA CARLOS BARBOSA DOS SANTOS 549/551
392,"RUA LAGOA DA TOCHA, 833"
393,"Av. São João, 473 - Galeria Olido - Centro - São Paulo - CEP 01035-000"
394,Rua Augusto Cavalcante 84 praça Brasil conj residencial José Bonifácio itaquera cep 08253-110
395,Rua Augusto Cavalcante 84 praça Brasil conj residencial José Bonifácio itaquera cep 08253-110
396,Rua ida vanucci Pinto 242
397,Rua Socialista.26.Av.Gonçalo Paiva Gomes 29.a
398,Rua: Amalfi 501 (Jardim Fujihara
399,Rua João Badue n 85 setor Gráficos 
400,ESTRADA DO MESTRE 43- PARQUE DE TAIPAS.SP.CE- 02987160
401,"Periferia de Guarulhos (  Taboão, Cabuçu, Recreio São Jorge Jd.Molte Alto)"
404,"Periferia de Guarulhos (  Taboão, Cabuçu, Recreio São Jorge Jd.Molte Alto)"
405,Rua manuel plá155+
406,Outros
407,"Rua travessa cachoeira de Paulo Afonso, N° 25, Cep 08473-240 - Conjunto Habitacional Sítio Conceição"
408,Rua Francisco do Amaral 119 Vila Lais 
410,"Rua Bilac, 471"
411,"RUA MANOEL DA SILVEIRA , N° 26 JARDIM VILA CARRAOZINHO CEP 08340 270"
412,Rua estevan de araujo Almeida n674
413,"Rua Presidente Alves, 254 - Conjunto Brigadeiro Faria Lima -Grajaú São Paulo - CEP: 04840-540"
414,R Corria Lopes N 254 
415,"Rua Rio da Fronteira, 79 - Jardim Alvina"
416,
418,"Rua Tapiraí, nº 236 - Vila Isolina Mazzei, São Paulo - SP, 02083-070"
419,Rua domingos tarroso  nu:632
421,Correia Lopes no 354 
422,Rua dom Francisco Cardoso Ayres 289 Jd Cambará Butantã
423,"Rua São Pompeu, 57 - Bairro Jardim Japão - CEP 02.135-020"
424,"Rua Sapoti, 20 - Jardim Aeroporto - São Paulo - Cep: 04615-040"
425,R. planalto. dos acantilados. 110 .cep 03981/110
426,elisio mendes Gaia n 286 Jardim São Carlos cidade Ademar CEP 04433220 
427,"Rua Alcino Fidélis, 347 - Vila Nossa Senhora do Retiro "
428,Rua Araújo Gondim 345
429,"Rua Ataliba Vieira, 1034 - Vila Medeiros - CEP 02216-000"
430,"Rua Zacarias Mazel, 128"
431,Av m boi Guaçu número 622
432,"Rua Zacarias Mazel, 128"
433,Rua José Francisco Chaves 3a jardim paulistano
434,R Manoel pendrive 59
435,"Rua Major Dantas Cortez, 1.510 - Vila Gustavo - CEP 02206-000."
436,"Estr. de Itapecerica a Campo Limpo ,2048 Jd. santo Eduardo Embu das Artes SP."
437,Raimundo Pereira de Magalhães ( Capadócia ) 
438,Rua  Coelho  Lousada  1000
439,"Rua dos Jasmins, 46"
441,"Rua Maestro João Balan, 510"
442,"Rua Joaquim Gouveia Franco, 388"
443,Rua joaquim de oliveira freitas 2028 pirituba
444,"Rua Santa davina, 157 - Parque  Paulistano  São São Miguel Paulista "
445,Rua joaquim de oliveira freitas 2028 pirituba
446,"Rua bruno Cilibert, 129"
447,"Avenida Progresso, 562"
449,"Av. Dr.Guilherme de Abreu Sodre N"" 1050"
